Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-12:16:49,trash_0,9.41285109028545,37.4192151,-5.9991439,47.51,37.41922885816573,-5.99903897332378,80.66416435843236
2024/05/14-12:16:49,trash_1,inf,37.4192151,-5.9991439,47.51,,,
2024/05/14-12:16:49,trash_0,7.155233984115965,37.4192162,-5.999142,50.13,37.41926159592652,-5.999084604880328,45.23983104130149
2024/05/14-12:16:49,trash_1,9.57299888272066,37.4192162,-5.999142,50.13,37.41922739332189,-5.999034770175399,82.54361416693325
2024/05/14-12:16:49,trash_0,9.14734647032209,37.419217,-5.9991401,53.13,37.41922513856469,-5.999037269255545,84.33301135860455
2024/05/14-12:16:49,trash_1,inf,37.419217,-5.9991401,53.13,,,
2024/05/14-12:16:49,trash_0,7.083321213346052,37.419217,-5.9991401,53.13,37.4192616950648,-5.999082979217648,45.548281520475854
2024/05/14-12:16:49,trash_1,9.236091802191353,37.419217,-5.9991401,53.13,37.41922633365578,-5.999036420014604,83.56024482947426
2024/05/14-12:16:49,trash_0,11.381863847408454,37.419217,-5.9991401,53.13,37.4192140550176,-5.99901157435297,91.64553701674674
2024/05/14-12:16:49,trash_1,7.1190976107690895,37.419217,-5.9991401,53.13,37.419262248436326,-5.99908309660044,45.136869629828894
2024/05/14-12:16:49,trash_2,9.559179022312879,37.419217,-5.9991401,53.13,37.41922736134115,-5.999032896068371,83.09061374734598
2024/05/14-12:16:49,trash_0,11.370310408129438,37.419217,-5.9991401,53.13,37.419217833901065,-5.999011656094564,89.53358524907233
2024/05/14-12:16:49,trash_1,6.883622683853872,37.419217,-5.9991401,53.13,37.41926273917891,-5.999087579491343,42.48461363795241
2024/05/14-12:16:50,trash_0,6.900174777404832,37.4192178,-5.9991379,57.0,37.41926211029766,-5.999083221071552,44.54440910600306
2024/05/14-12:16:50,trash_0,6.780304678621705,37.4192178,-5.9991379,57.0,37.41926222343159,-5.999085319333007,43.351260903397694
2024/05/14-12:16:50,trash_0,7.031191697421378,37.4192185,-5.9991358,61.04,37.419279417039384,-5.999113988776588,15.937975807852723
2024/05/14-12:16:50,trash_1,6.809339137981088,37.4192185,-5.9991358,61.04,37.41926095755283,-5.999080270108946,46.21005697694443
2024/05/14-12:16:50,trash_2,inf,37.4192185,-5.9991358,61.04,,,
2024/05/14-12:16:50,trash_0,6.81934086804681,37.4192185,-5.9991358,61.04,37.41927816285855,-5.9991173881967725,13.827530491007487
2024/05/14-12:16:50,trash_1,6.710347403833093,37.4192185,-5.9991358,61.04,37.419261793853664,-5.999082884586606,44.27009921577584
2024/05/14-12:16:50,trash_0,6.634367439162463,37.4192185,-5.9991358,61.04,37.41927703613174,-5.999120609242735,11.694079630634597
2024/05/14-12:16:50,trash_1,6.666005091984761,37.4192185,-5.9991358,61.04,37.419262875007924,-5.999085052102169,42.368922805000736
2024/05/14-12:16:50,trash_0,6.461691431014513,37.4192185,-5.9991358,61.04,37.4192628863199,-5.999088561474331,40.32587254869603
2024/05/14-12:16:50,trash_0,6.305690239339793,37.4192189,-5.9991335,65.85,37.419260948734276,-5.999085594742313,42.260602883266465
2024/05/14-12:16:50,trash_0,6.271573589285974,37.4192189,-5.9991335,65.85,37.41926163253276,-5.9990871424609296,40.86786128560526
2024/05/14-12:16:50,trash_0,6.080560551670798,37.4192192,-5.9991313,70.51,37.419259052347904,-5.999084163755119,43.330656056853286
2024/05/14-12:16:50,trash_1,8.206954670069189,37.4192192,-5.9991313,70.51,37.419225658064214,-5.999038941892106,84.98968155480647
2024/05/14-12:16:50,trash_0,6.203849281572271,37.4192192,-5.9991313,70.51,37.41926093734746,-5.999084680871024,41.69706609461602
2024/05/14-12:16:50,trash_0,5.92160840305707,37.4192194,-5.9991289,75.71,37.41925782536688,-5.999082489330702,43.93015090778507
