Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-11:54:23,trash_0,7.506702914413191,37.4191589,-5.9990285,323.11,37.41922478000621,-5.999047702050902,346.912748229809
2024/05/14-11:54:23,trash_0,7.602326730057327,37.4191583,-5.9990278,323.58,37.419225051074704,-5.999047074025906,347.0309601150467
2024/05/14-11:54:23,trash_0,7.68558290026333,37.4191583,-5.9990278,323.58,37.4192257338705,-5.999047545795237,346.8543588448927
2024/05/14-11:54:23,trash_0,7.704697403675542,37.4191577,-5.9990272,323.85,37.41922527819422,-5.999047120045383,346.76974926534126
2024/05/14-11:54:23,trash_0,7.722209812040091,37.4191577,-5.9990272,323.85,37.4192253819968,-5.999047429056222,346.5917440418354
2024/05/14-11:54:23,trash_0,7.662379105701903,37.4191577,-5.9990272,323.85,37.41922485760526,-5.999047272323908,346.5917440418354
2024/05/14-11:54:23,trash_0,7.686837802016909,37.419157,-5.9990264,324.06,37.419224380803605,-5.999046489908764,346.6232739933517
2024/05/14-11:54:24,trash_0,7.744236297133578,37.419157,-5.9990264,324.06,37.419224883943755,-5.999046639922542,346.6232739933517
2024/05/14-11:54:24,trash_0,7.731191139151589,37.419157,-5.9990264,324.06,37.41922471893332,-5.999046871083105,346.4443407735783
2024/05/14-11:54:24,trash_0,7.777032800774987,37.4191564,-5.9990256,324.09,37.41922452905931,-5.999046147742736,346.47434077357826
2024/05/14-11:54:24,trash_0,7.740134931458052,37.4191564,-5.9990256,324.09,37.419224205823305,-5.999046050254577,346.47434077357826
2024/05/14-11:54:24,trash_0,7.808664812959151,37.4191564,-5.9990256,324.09,37.41922475430771,-5.99904649975335,346.2949460809354
2024/05/14-11:54:24,trash_0,7.864195929129027,37.4191564,-5.9990256,324.09,37.41922524040758,-5.999046648381536,346.2949460809354
2024/05/14-11:54:24,trash_0,7.872908378971906,37.4191564,-5.9990256,324.09,37.4192253166733,-5.999046671700276,346.2949460809354
2024/05/14-11:54:24,trash_0,7.822110055204038,37.4191564,-5.9990256,324.09,37.41922487200264,-5.999046535739336,346.2949460809354
2024/05/14-11:54:24,trash_0,7.806562748248685,37.4191564,-5.9990256,324.09,37.41922473590698,-5.999046494127204,346.2949460809354
2024/05/14-11:54:24,trash_0,7.8455535298122445,37.4191564,-5.9990256,324.09,37.41922507721856,-5.999046598485438,346.2949460809354
